pickup_datetime,dropoff_datetime,trip_distance,fare_amount,total_amount,passenger_count,pu_location_id,do_location_id,pu_borough,pu_zone,do_borough,do_zone,trip_duration_min,avg_speed_mph,fare_per_mile
2024-01-20 07:45:00,2024-01-20 08:03:00,2.0,11.0,13.2,1,161,24,Manhattan,Midtown Center,Manhattan,Bloomingdale,18,6.67,5.5
2024-01-20 09:50:00,2024-01-20 10:08:00,2.5,12.5,14.7,2,24,161,Manhattan,Bloomingdale,Manhattan,Midtown Center,18,8.33,5.0
2024-01-20 12:35:00,2024-01-20 12:54:00,3.0,13.5,16.0,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,19,9.47,4.5
2024-01-20 17:10:00,2024-01-20 17:38:00,5.9,23.5,27.0,2,48,138,Manhattan,Clinton East,Queens,LaGuardia Airport,28,12.64,3.98
2024-01-20 22:45:00,2024-01-20 23:09:00,4.5,19.0,22.3,1,138,239,Queens,LaGuardia Airport,Manhattan,Upper West Side North,24,11.25,4.22
2024-01-21 06:30:00,2024-01-21 06:44:00,1.4,8.5,10.5,1,239,161,Manhattan,Upper West Side North,Manhattan,Midtown Center,14,6.0,6.07
2024-01-21 08:55:00,2024-01-21 09:15:00,2.6,12.5,14.8,2,161,100,Manhattan,Midtown Center,Manhattan,Lenox Hill East,20,7.8,4.81
2024-01-21 11:20:00,2024-01-21 11:40:00,2.3,11.5,13.7,1,100,237,Manhattan,Lenox Hill East,Manhattan,Upper East Side South,20,6.9,5.0
2024-01-21 14:05:00,2024-01-21 14:26:00,3.6,15.5,18.2,1,237,132,Manhattan,Upper East Side South,Manhattan,JFK Airport,21,10.29,4.31
2024-01-21 18:30:00,2024-01-21 18:58:00,6.4,25.5,29.5,3,132,161,Manhattan,JFK Airport,Manhattan,Midtown Center,28,13.71,3.98
2024-01-22 07:15:00,2024-01-22 07:32:00,1.9,10.5,12.5,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,17,6.71,5.53
2024-01-22 09:40:00,2024-01-22 09:58:00,2.2,11.5,13.5,2,48,239,Manhattan,Clinton East,Manhattan,Upper West Side North,18,7.33,5.23
2024-01-22 12:55:00,2024-01-22 13:14:00,2.7,13.0,15.3,1,239,24,Manhattan,Upper West Side North,Manhattan,Bloomingdale,19,8.53,4.81
2024-01-22 16:20:00,2024-01-22 16:51:00,7.8,31.0,36.0,2,24,90,Manhattan,Bloomingdale,Queens,Elmhurst,31,15.1,3.97
2024-01-22 21:35:00,2024-01-22 21:57:00,4.3,18.0,21.2,1,90,161,Queens,Elmhurst,Manhattan,Midtown Center,22,11.73,4.19
2024-01-23 07:50:00,2024-01-23 08:07:00,2.1,11.0,13.1,1,161,237,Manhattan,Midtown Center,Manhattan,Upper East Side South,17,7.41,5.24
2024-01-23 10:15:00,2024-01-23 10:33:00,1.8,10.0,12.0,2,237,100,Manhattan,Upper East Side South,Manhattan,Lenox Hill East,18,6.0,5.56
2024-01-23 13:40:00,2024-01-23 13:59:00,3.3,14.5,17.0,1,100,138,Manhattan,Lenox Hill East,Queens,LaGuardia Airport,19,10.42,4.39
2024-01-23 17:00:00,2024-01-23 17:29:00,6.6,26.5,30.8,3,138,161,Queens,LaGuardia Airport,Manhattan,Midtown Center,29,13.66,4.02
2024-01-23 22:20:00,2024-01-23 22:45:00,4.9,20.5,24.0,1,161,132,Manhattan,Midtown Center,Manhattan,JFK Airport,25,11.76,4.18
2024-01-24 06:45:00,2024-01-24 07:01:00,1.6,9.5,11.3,1,132,48,Manhattan,JFK Airport,Manhattan,Clinton East,16,6.0,5.94
2024-01-24 09:05:00,2024-01-24 09:24:00,2.4,12.0,14.2,2,48,161,Manhattan,Clinton East,Manhattan,Midtown Center,19,7.58,5.0
2024-01-24 12:30:00,2024-01-24 12:49:00,2.9,13.5,15.8,1,161,239,Manhattan,Midtown Center,Manhattan,Upper West Side North,19,9.16,4.66
2024-01-24 15:55:00,2024-01-24 16:20:00,5.1,21.0,24.5,2,239,90,Manhattan,Upper West Side North,Queens,Elmhurst,25,12.24,4.12
2024-01-24 20:40:00,2024-01-24 21:04:00,4.7,19.5,22.8,1,90,237,Queens,Elmhurst,Manhattan,Upper East Side South,24,11.75,4.15
2024-01-25 08:20:00,2024-01-25 08:38:00,2.0,11.0,13.0,1,237,24,Manhattan,Upper East Side South,Manhattan,Bloomingdale,18,6.67,5.5
2024-01-25 10:45:00,2024-01-25 11:02:00,1.7,10.0,12.0,2,24,237,Manhattan,Bloomingdale,Manhattan,Upper East Side South,17,6.0,5.88
2024-01-25 13:10:00,2024-01-25 13:30:00,3.5,15.0,17.5,1,237,132,Manhattan,Upper East Side South,Manhattan,JFK Airport,20,10.5,4.29
2024-01-25 17:35:00,2024-01-25 18:02:00,6.3,25.0,29.2,3,132,138,Manhattan,JFK Airport,Queens,LaGuardia Airport,27,14.0,3.97
2024-01-25 22:50:00,2024-01-25 23:14:00,4.4,18.5,21.7,1,138,161,Queens,LaGuardia Airport,Manhattan,Midtown Center,24,11.0,4.2
2024-01-26 07:05:00,2024-01-26 07:23:00,2.2,11.5,13.5,1,161,100,Manhattan,Midtown Center,Manhattan,Lenox Hill East,18,7.33,5.23
2024-01-26 09:30:00,2024-01-26 09:48:00,1.9,10.5,12.5,2,100,161,Manhattan,Lenox Hill East,Manhattan,Midtown Center,18,6.33,5.53
2024-01-26 12:15:00,2024-01-26 12:35:00,3.1,14.0,16.3,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,20,9.3,4.52
2024-01-26 16:40:00,2024-01-26 17:10:00,7.4,29.5,34.0,2,48,90,Manhattan,Clinton East,Queens,Elmhurst,30,14.8,3.99
2024-01-26 21:55:00,2024-01-26 22:18:00,4.2,17.5,20.5,1,90,239,Queens,Elmhurst,Manhattan,Upper West Side North,23,10.96,4.17
2024-01-27 08:30:00,2024-01-27 08:47:00,2.3,12.0,14.2,1,239,161,Manhattan,Upper West Side North,Manhattan,Midtown Center,17,8.12,5.22
2024-01-27 10:55:00,2024-01-27 11:13:00,2.6,12.5,14.8,2,161,237,Manhattan,Midtown Center,Manhattan,Upper East Side South,18,8.67,4.81
2024-01-27 14:20:00,2024-01-27 14:39:00,3.4,15.0,17.5,1,237,138,Manhattan,Upper East Side South,Queens,LaGuardia Airport,19,10.74,4.41
2024-01-27 18:05:00,2024-01-27 18:34:00,6.9,27.5,32.0,3,138,24,Queens,LaGuardia Airport,Manhattan,Bloomingdale,29,14.28,3.99
2024-01-27 23:15:00,2024-01-27 23:38:00,4.6,19.0,22.3,1,24,161,Manhattan,Bloomingdale,Manhattan,Midtown Center,23,12.0,4.13
2024-01-28 07:40:00,2024-01-28 07:58:00,2.1,11.0,13.2,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,18,7.0,5.24
2024-01-28 09:15:00,2024-01-28 09:34:00,2.8,13.0,15.5,2,48,100,Manhattan,Clinton East,Manhattan,Lenox Hill East,19,8.84,4.64
2024-01-28 12:40:00,2024-01-28 12:59:00,2.5,12.5,14.7,1,100,239,Manhattan,Lenox Hill East,Manhattan,Upper West Side North,19,7.89,5.0
2024-01-28 16:05:00,2024-01-28 16:33:00,5.7,22.5,26.2,2,239,132,Manhattan,Upper West Side North,Manhattan,JFK Airport,28,12.21,3.95
2024-01-28 21:20:00,2024-01-28 21:43:00,4.0,17.0,19.8,1,132,161,Manhattan,JFK Airport,Manhattan,Midtown Center,23,10.43,4.25
2024-01-29 08:00:00,2024-01-29 08:18:00,1.8,10.0,12.0,1,161,90,Manhattan,Midtown Center,Queens,Elmhurst,18,6.0,5.56
2024-01-29 10:25:00,2024-01-29 10:44:00,2.7,13.0,15.3,2,90,237,Queens,Elmhurst,Manhattan,Upper East Side South,19,8.53,4.81
2024-01-29 13:50:00,2024-01-29 14:09:00,3.3,14.5,17.0,1,237,161,Manhattan,Upper East Side South,Manhattan,Midtown Center,19,10.42,4.39
2024-01-29 17:25:00,2024-01-29 17:55:00,8.1,32.5,37.5,3,161,138,Manhattan,Midtown Center,Queens,LaGuardia Airport,30,16.2,4.01
2024-01-29 22:40:00,2024-01-29 23:03:00,4.3,18.0,21.2,1,138,239,Queens,LaGuardia Airport,Manhattan,Upper West Side North,23,11.22,4.19
2024-01-30 07:20:00,2024-01-30 07:38:00,2.2,11.5,13.5,1,239,24,Manhattan,Upper West Side North,Manhattan,Bloomingdale,18,7.33,5.23
2024-01-30 09:45:00,2024-01-30 10:03:00,2.4,12.0,14.3,2,24,161,Manhattan,Bloomingdale,Manhattan,Midtown Center,18,8.0,5.0
2024-01-30 12:20:00,2024-01-30 12:40:00,3.0,13.5,16.0,1,161,48,Manhattan,Midtown Center,Manhattan,Clinton East,20,9.0,4.5
2024-01-30 15:45:00,2024-01-30 16:13:00,6.2,24.5,28.5,2,48,132,Manhattan,Clinton East,Manhattan,JFK Airport,28,13.29,3.95
2024-01-30 20:30:00,2024-01-30 20:53:00,4.1,17.5,20.5,1,132,100,Manhattan,JFK Airport,Manhattan,Lenox Hill East,23,10.7,4.27
2024-01-31 07:55:00,2024-01-31 08:13:00,2.0,11.0,13.0,1,100,161,Manhattan,Lenox Hill East,Manhattan,Midtown Center,18,6.67,5.5
2024-01-31 10:20:00,2024-01-31 10:39:00,2.6,12.5,14.8,2,161,237,Manhattan,Midtown Center,Manhattan,Upper East Side South,19,8.21,4.81
2024-01-31 13:45:00,2024-01-31 14:05:00,3.2,14.0,16.5,1,237,90,Manhattan,Upper East Side South,Queens,Elmhurst,20,9.6,4.38
2024-01-31 17:10:00,2024-01-31 17:40:00,7.5,30.0,34.8,3,90,138,Queens,Elmhurst,Queens,LaGuardia Airport,30,15.0,4.0
2024-01-31 22:25:00,2024-01-31 22:48:00,4.4,18.5,21.7,1,138,161,Queens,LaGuardia Airport,Manhattan,Midtown Center,23,11.48,4.2
2024-02-01 08:10:00,2024-02-01 08:28:00,2.1,11.0,13.2,1,161,239,Manhattan,Midtown Center,Manhattan,Upper West Side North,18,7.0,5.24
2024-02-01 10:35:00,2024-02-01 10:54:00,2.8,13.0,15.5,2,239,48,Manhattan,Upper West Side North,Manhattan,Clinton East,19,8.84,4.64
2024-02-01 14:00:00,2024-02-01 14:19:00,2.3,12.0,14.2,1,48,237,Manhattan,Clinton East,Manhattan,Upper East Side South,19,7.26,5.22
2024-02-01 17:25:00,2024-02-01 17:55:00,6.7,27.0,31.2,3,237,132,Manhattan,Upper East Side South,Manhattan,JFK Airport,30,13.4,4.03
2024-02-01 22:40:00,2024-02-01 23:02:00,4.5,19.0,22.3,1,132,161,Manhattan,JFK Airport,Manhattan,Midtown Center,22,12.27,4.22
2024-02-02 07:30:00,2024-02-02 07:48:00,1.9,10.5,12.5,1,161,24,Manhattan,Midtown Center,Manhattan,Bloomingdale,18,6.33,5.53
2024-02-02 09:55:00,2024-02-02 10:13:00,2.5,12.5,14.7,2,24,100,Manhattan,Bloomingdale,Manhattan,Lenox Hill East,18,8.33,5.0
2024-02-02 13:20:00,2024-02-02 13:39:00,3.1,14.0,16.5,1,100,239,Manhattan,Lenox Hill East,Manhattan,Upper West Side North,19,9.79,4.52
2024-02-02 16:45:00,2024-02-02 17:14:00,7.0,28.0,32.5,2,239,90,Manhattan,Upper West Side North,Queens,Elmhurst,29,14.48,4.0
2024-02-02 21:00:00,2024-02-02 21:23:00,4.2,17.5,20.5,1,90,161,Queens,Elmhurst,Manhattan,Midtown Center,23,10.96,4.17
2024-02-03 08:45:00,2024-02-03 09:03:00,2.4,12.0,14.3,1,161,237,Manhattan,Midtown Center,Manhattan,Upper East Side South,18,8.0,5.0
2024-02-03 11:10:00,2024-02-03 11:29:00,2.0,11.0,13.0,2,237,161,Manhattan,Upper East Side South,Manhattan,Midtown Center,19,6.32,5.5
2024-02-03 14:35:00,2024-02-03 14:54:00,3.4,15.0,17.5,1,161,138,Manhattan,Midtown Center,Queens,LaGuardia Airport,19,10.74,4.41
2024-02-03 19:00:00,2024-02-03 19:28:00,6.5,26.0,30.2,3,138,48,Queens,LaGuardia Airport,Manhattan,Clinton East,28,13.93,4.0
2024-02-03 23:15:00,2024-02-03 23:38:00,4.6,19.5,22.8,1,48,161,Manhattan,Clinton East,Manhattan,Midtown Center,23,12.0,4.24
